organ,organ_ID,anatomical_structure_of,source_spatial_entity,node_name,label,OntologyID,representation_of,svg file of single 2DFTU,exist_asctb,type,REF/1,REF/1/DOI,REF/1/NOTES,Inset #,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUDescendingThinLimb,#2DRefObjects,Descending_Thin_Limb_Cell_2,kidney loop of Henle thin descending limb epithelial cell,CL:1001111,http://purl.obolibrary.org/obo/CL_1001111,descending_thin_loop_of_henle,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUDescendingThinLimb,#2DRefObjects,Descending_Thin_Limb_Cell_3,kidney loop of Henle thin descending limb epithelial cell,CL:1001111,http://purl.obolibrary.org/obo/CL_1001111,descending_thin_loop_of_henle,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUDescendingThinLimb,#2DRefObjects,Descending_Vasa_Recta,vasa recta descending limb cell,CL:1001285,http://purl.obolibrary.org/obo/CL_1001285,descending_thin_loop_of_henle,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUAscendingThinLimb,#2DRefObjects,Ascending_Thin_Limb_Cell_1,kidney loop of Henle thin ascending limb epithelial cell,CL:1001107,http://purl.obolibrary.org/obo/CL_1001107,ascending_thin_loop_of_henle,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUAscendingThinLimb,#2DRefObjects,Ascending_Thin_Limb_Cell_2,kidney loop of Henle thin ascending limb epithelial cell,CL:1001107,http://purl.obolibrary.org/obo/CL_1001107,ascending_thin_loop_of_henle,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUAscendingThinLimb,#2DRefObjects,Ascending_Thin_Limb_Cell_3,kidney loop of Henle thin ascending limb epithelial cell,CL:1001107,http://purl.obolibrary.org/obo/CL_1001107,ascending_thin_loop_of_henle,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUAscendingThinLimb,#2DRefObjects,Ascending_Vasa_Recta,vasa recta ascending limb cell,CL:1001131,http://purl.obolibrary.org/obo/CL_1001131,ascending_thin_loop_of_henle,1,CT,,,,,,,,,,,,,,,,,,,,
#Skin,UBERON:0002097,#FTUDermalPapilla,#2DRefObjects,Skin_Fibroblast_1,skin fibroblast,CL:0002620,http://purl.obolibrary.org/obo/CL_0002620,dermal_papilla,1,CT,,,,,,,,,,,,,,,,,,,,
#Skin,UBERON:0002097,#FTUDermalPapilla,#2DRefObjects,Skin_Fibroblast_2,skin fibroblast,CL:0002620,http://purl.obolibrary.org/obo/CL_0002620,dermal_papilla,1,CT,,,,,,,,,,,,,,,,,,,,
#Skin,UBERON:0002097,#FTUDermalPapilla,#2DRefObjects,Skin_Fibroblast_3,skin fibroblast,CL:0002620,http://purl.obolibrary.org/obo/CL_0002620,dermal_papilla,1,CT,,,,,,,,,,,,,,,,,,,,
#Skin,UBERON:0002097,#FTUDermalPapilla,#2DRefObjects,Skin_Fibroblast_4,skin fibroblast,CL:0002620,http://purl.obolibrary.org/obo/CL_0002620,dermal_papilla,1,CT,,,,,,,,,,,,,,,,,,,,
#Skin,UBERON:0002097,#FTUDermalPapilla,#2DRefObjects,Skin_Fibroblast_5,skin fibroblast,CL:0002620,http://purl.obolibrary.org/obo/CL_0002620,dermal_papilla,1,CT,,,,,,,,,,,,,,,,,,,,
#Skin,UBERON:0002097,#FTUDermalPapilla,#2DRefObjects,Skin_Fibroblast_6,skin fibroblast,CL:0002620,http://purl.obolibrary.org/obo/CL_0002620,dermal_papilla,1,CT,,,,,,,,,,,,,,,,,,,,
#Skin,UBERON:0002097,#FTUDermalPapilla,#2DRefObjects,Skin_Fibroblast_7,skin fibroblast,CL:0002620,http://purl.obolibrary.org/obo/CL_0002620,dermal_papilla,1,CT,,,,,,,,,,,,,,,,,,,,
#Skin,UBERON:0002097,#FTUDermalPapilla,#2DRefObjects,Skin_Fibroblast_8,skin fibroblast,CL:0002620,http://purl.obolibrary.org/obo/CL_0002620,dermal_papilla,1,CT,,,,,,,,,,,,,,,,,,,,
#Skin,UBERON:0002097,#FTUDermalPapilla,#2DRefObjects,Skin_Fibroblast_9,skin fibroblast,CL:0002620,http://purl.obolibrary.org/obo/CL_0002620,dermal_papilla,1,CT,,,,,,,,,,,,,,,,,,,,
